action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1767602,[],CHEMBL913216,Inhibition of Bcr-Abl fusion protein,B,,,BAO_0000190,BAO_0000224,protein format,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,,CHEMBL1137261,J Med Chem,2006,"{'bei': '14.51', 'le': '0.29', 'lle': '2.51', 'sei': '9.29'}",CHEMBL288441,BOSUTINIB,CHEMBL288441,7.70,0,http://www.openphacts.org/units/Nanomolar,572903,=,1,1,=,,IC50,nM,,20.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,20.0
,,1767603,[],CHEMBL913216,Inhibition of Bcr-Abl fusion protein,B,,,BAO_0000190,BAO_0000224,protein format,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,,,CHEMBL1137261,J Med Chem,2006,"{'bei': '19.62', 'le': '0.41', 'lle': '2.93', 'sei': '14.54'}",CHEMBL386051,,CHEMBL386051,8.70,0,http://www.openphacts.org/units/Nanomolar,572904,=,1,1,=,,IC50,nM,,2.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,2.0
,,1778588,[],CHEMBL910557,Inhibition of Bcr-Abl in presence of ATP,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,,,CHEMBL1137331,J Med Chem,2006,"{'bei': '22.80', 'le': '0.47', 'lle': '4.01', 'sei': '10.68'}",CHEMBL364623,,CHEMBL364623,8.52,0,http://www.openphacts.org/units/Nanomolar,592169,=,1,1,=,,IC50,nM,,3.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,3.0
,,1778589,[],CHEMBL910557,Inhibition of Bcr-Abl in presence of ATP,B,,,BAO_0000190,BAO_0000224,protein format,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,,,CHEMBL1137331,J Med Chem,2006,,CHEMBL5416410,,CHEMBL1421,,0,http://www.openphacts.org/units/Nanomolar,592180,<,1,1,<,,IC50,nM,,1.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.0
,,1841809,[],CHEMBL914494,Inhibition of Bcr-Abl kinase,B,,,BAO_0000190,BAO_0000224,protein format,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,,,CHEMBL1149291,J Med Chem,2004,,CHEMBL5416410,,CHEMBL1421,,0,http://www.openphacts.org/units/Nanomolar,630471,<,1,1,<,,IC50,nM,,1.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.0
,,3186206,[],CHEMBL1110561,Inhibition of wild type Bcr-Abl,B,,,BAO_0000190,BAO_0000224,protein format,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,,,CHEMBL1155389,J Med Chem,2010,"{'bei': '18.64', 'le': '0.38', 'lle': '5.79', 'sei': '8.54'}",CHEMBL5416410,,CHEMBL1421,9.10,0,http://www.openphacts.org/units/Nanomolar,896011,=,1,1,=,,IC50,nM,,0.8,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,0.8
,,3186208,[],CHEMBL1110561,Inhibition of wild type Bcr-Abl,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1155389,J Med Chem,2010,"{'bei': '18.15', 'le': '0.33', 'lle': '4.37', 'sei': '10.38'}",CHEMBL941,IMATINIB,CHEMBL941,8.96,0,http://www.openphacts.org/units/Nanomolar,896009,=,1,1,=,,IC50,nM,,1.1,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.1
,,3186225,[],CHEMBL1110561,Inhibition of wild type Bcr-Abl,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/N4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1155389,J Med Chem,2010,"{'bei': '14.44', 'le': '0.27', 'lle': '2.12', 'sei': '8.10'}",CHEMBL1077317,,CHEMBL1077317,8.10,0,http://www.openphacts.org/units/Nanomolar,896188,=,1,1,=,,IC50,nM,,8.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,8.0
,,3186244,[],CHEMBL1110561,Inhibition of wild type Bcr-Abl,B,,,BAO_0000190,BAO_0000224,protein format,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,,CHEMBL1155389,J Med Chem,2010,"{'bei': '24.25', 'le': '0.44', 'lle': '4.67', 'sei': '7.88'}",CHEMBL1081312,,CHEMBL1081312,7.75,0,http://www.openphacts.org/units/Nanomolar,896281,=,1,1,=,,IC50,nM,,18.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,18.0
,,3447951,[],CHEMBL1249194,Inhibition of Bcr-abl tyrosine phosphorylation in mouse BA/F3ells p210 Bcr-abl after 90 mins by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,,,CHEMBL1240306,Nat Chem Biol,2006,"{'bei': '17.56', 'le': '0.33', 'lle': '2.69', 'sei': '7.29'}",CHEMBL483847,,CHEMBL483847,6.57,0,http://www.openphacts.org/units/Nanomolar,953031,=,1,1,=,,IC50,nM,,267.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,267.0
